;;P1;P1H1;P1H2;P2;P2H1;P2H2;P3;P3H1;P3H2;P4;P4H1;P4H2;P5;P5H1;P5H2;P6;P6H1;P6H2;Flop1;Flop2;Flop3;Turn;River;Dealer
;;Laura Moreno;QH;5H;Brian Kaufman;AC;TS;Miguel Branas;AH;3S;Juan Gonzalez;TC;3C;Mario Bonata;JC;9C;Kaue de Souza;6C;5D;4S;JD;8H;2S;7C;1
;;Laura Moreno;9D;3D;Brian Kaufman;4D;2S;Miguel Branas;JS;5S;Juan Gonzalez;9H;6C;Mario Bonata;8S;8C;Kaue de Souza;KS;TH;4C;3H;QD;AC;TS;1
;;Laura Moreno;AC;TD;Brian Kaufman;QS;5H;Miguel Branas;AH;6C;Juan Gonzalez;JS;4D;Mario Bonata;9S;2D;Kaue de Souza;6D;2H;3C;2C;QH;TC;8D;0
;;Laura Moreno;0;0;Brian Kaufman;TH;6S;Miguel Branas;QH;2D;Juan Gonzalez;TS;TC;Mario Bonata;AD;JC;Kaue de Souza;8D;3C;0;0;0;0;0;0
;;Laura Moreno;0;0;Brian Kaufman;TC;5D;Miguel Branas;8H;4D;Juan Gonzalez;QH;7S;Mario Bonata;JH;3D;Kaue de Souza;4H;3H;QD;JS;JD;9D;0;0
;;Laura Moreno;0;0;Brian Kaufman;AD;TD;Miguel Branas;KD;KC;Juan Gonzalez;7C;3S;Mario Bonata;JS;5D;Kaue de Souza;AS;QD;0;0;0;0;0;0
;;Laura Moreno;0;0;Brian Kaufman;AC;3H;Miguel Branas;5D;3D;Juan Gonzalez;3C;2H;Mario Bonata;KC;9S;Kaue de Souza;9D;5S;AH;2S;2D;QC;6D;1
;;Laura Moreno;0;0;Brian Kaufman;KC;JH;Miguel Branas;TH;5C;Juan Gonzalez;AH;7C;Mario Bonata;TS;4H;Kaue de Souza;AS;8S;JC;KH;2C;2S;4S;1
;;Laura Moreno;0;0;Brian Kaufman;QD;JH;Miguel Branas;6H;5C;Juan Gonzalez;KC;QC;Mario Bonata;AH;3C;Kaue de Souza;TD;6S;TH;3H;5H;4H;QH;1
;;Laura Moreno;0;0;Brian Kaufman;4S;2D;Miguel Branas;AD;3S;Juan Gonzalez;9D;4D;Mario Bonata;4H;4C;Kaue de Souza;AC;7H;TD;9S;8H;JS;JD;1
;;Laura Moreno;0;0;Brian Kaufman;8H;5C;Miguel Branas;9S;9H;Juan Gonzalez;7S;4D;Mario Bonata;AH;JS;Kaue de Souza;AD;KC;6C;6S;TS;KS;KD;0
;;Laura Moreno;0;0;Brian Kaufman;9H;3D;Miguel Branas;KS;JH;Juan Gonzalez;9C;2D;Mario Bonata;;;Kaue de Souza;TD;5S;0;0;0;0;0;0
;;Laura Moreno;0;0;Brian Kaufman;6H;4S;Miguel Branas;JH;6S;Juan Gonzalez;KD;8S;Mario Bonata;0;0;Kaue de Souza;KS;5D;5C;2H;AH;8C;AC;0
;;Laura Moreno;0;0;Brian Kaufman;4D;4C;Miguel Branas;AH;KD;Juan Gonzalez;8S;2C;Mario Bonata;0;0;Kaue de Souza;JC;4S;KC;QS;9S;JH;8C;0
;;Laura Moreno;0;0;Brian Kaufman;9S;2C;Miguel Branas;JC;6H;Juan Gonzalez;QD;5D;Mario Bonata;0;0;Kaue de Souza;AH;9D;QC;JD;2S;KD;6D;0
;;Laura Moreno;0;0;Brian Kaufman;6H;5H;Miguel Branas;JH;4H;Juan Gonzalez;7H;3C;Mario Bonata;0;0;Kaue de Souza;QS;9S;9C;8S;3S;4S;8D;0
;;Laura Moreno;0;0;Brian Kaufman;JH;9H;Miguel Branas;AC;2D;Juan Gonzalez;KS;8H;Mario Bonata;0;0;Kaue de Souza;KH;JC;0;0;0;0;0;1
;;Laura Moreno;0;0;Brian Kaufman;QC;TC;Miguel Branas;5C;3D;Juan Gonzalez;8S;6D;Mario Bonata;0;0;Kaue de Souza;KC;2C;JH;6C;6H;AD;7S;0
;;Laura Moreno;0;0;Brian Kaufman;0;0;Miguel Branas;TH;7H;Juan Gonzalez;TC;8S;Mario Bonata;0;0;Kaue de Souza;QD;4D;AH;5C;QH;KS;2H;0
;;Laura Moreno;0;0;Brian Kaufman;0;0;Miguel Branas;JH;3H;Juan Gonzalez;JC;2D;Mario Bonata;0;0;Kaue de Souza;9C;3D;0;0;0;0;0;0
;;Laura Moreno;0;0;Brian Kaufman;0;0;Miguel Branas;KS;KD;Juan Gonzalez;QC;TS;Mario Bonata;0;0;Kaue de Souza;JD;9D;4C;6C;9S;0;0;0
;;Laura Moreno;0;0;Brian Kaufman;0;0;Miguel Branas;9S;9D;Juan Gonzalez;KS;8D;Mario Bonata;0;0;Kaue de Souza;JC;4C;0;0;0;0;0;0
;;Laura Moreno;0;0;Brian Kaufman;0;0;Miguel Branas;8S;8C;Juan Gonzalez;KH;QD;Mario Bonata;0;0;Kaue de Souza;AD;7D;4S;7S;QH;JS;7H;0
;;Laura Moreno;0;0;Brian Kaufman;0;0;Miguel Branas;KH;KC;Juan Gonzalez;AD;7S;Mario Bonata;0;0;Kaue de Souza;8H;5D;0;0;0;0;0;1
;;Laura Moreno;0;0;Brian Kaufman;0;0;Miguel Branas;KD;7H;Juan Gonzalez;TD;4D;Mario Bonata;0;0;Kaue de Souza;AH;6D;5D;6S;JD;AC;7C;1
;;Laura Moreno;0;0;Brian Kaufman;0;0;Miguel Branas;KS;2S;Juan Gonzalez;AS;JC;Mario Bonata;0;0;Kaue de Souza;9S;2D;0;0;0;0;0;1
;;Laura Moreno;0;0;Brian Kaufman;0;0;Miguel Branas;QH;8D;Juan Gonzalez;5C;4D;Mario Bonata;0;0;Kaue de Souza;7C;3C;9H;6C;7H;4H;QD;1
;;Laura Moreno;0;0;Brian Kaufman;0;0;Miguel Branas;JD;9D;Juan Gonzalez;TS;7D;Mario Bonata;0;0;Kaue de Souza;AD;3D;JS;JC;4H;2H;0;1
;;Laura Moreno;0;0;Brian Kaufman;0;0;Miguel Branas;JD;6C;Juan Gonzalez;4S;4H;Mario Bonata;0;0;Kaue de Souza;AD;4D;2H;5C;8H;TS;JH;1
;;Laura Moreno;0;0;Brian Kaufman;0;0;Miguel Branas;QD;7H;Juan Gonzalez;6S;3H;Mario Bonata;0;0;Kaue de Souza;7S;3S;JS;AC;4H;5H;0;0
;;Laura Moreno;0;0;Brian Kaufman;0;0;Miguel Branas;5S;2C;Juan Gonzalez;AH;AD;Mario Bonata;0;0;Kaue de Souza;JD;8C;7H;9C;KD;8S;0;1
;;Laura Moreno;0;0;Brian Kaufman;0;0;Miguel Branas;9S;2S;Juan Gonzalez;4D;2H;Mario Bonata;0;0;Kaue de Souza;TS;6S;5C;KC;AC;9D;0;1
;;Laura Moreno;0;0;Brian Kaufman;0;0;Miguel Branas;AS;TS;Juan Gonzalez;6H;3H;Mario Bonata;0;0;Kaue de Souza;JH;TH;AH;KH;JS;7H;2H;1
;;Laura Moreno;0;0;Brian Kaufman;0;0;Miguel Branas;JH;TS;Juan Gonzalez;KD;2H;Mario Bonata;0;0;Kaue de Souza;8D;3C;3H;4D;AS;QD;AC;1
;;Laura Moreno;0;0;Brian Kaufman;0;0;Miguel Branas;QD;5D;Juan Gonzalez;KD;4S;Mario Bonata;0;0;Kaue de Souza;QC;5S;6D;9H;JD;AD;2H;1
;;Laura Moreno;0;0;Brian Kaufman;0;0;Miguel Branas;AC;JC;Juan Gonzalez;QD;5D;Mario Bonata;0;0;Kaue de Souza;6H;4H;2S;JH;9H;5C;QS;1
;;Laura Moreno;0;0;Brian Kaufman;0;0;Miguel Branas;0;0;Juan Gonzalez;QD;8H;Mario Bonata;0;0;Kaue de Souza;KC;3H;KS;4D;9S;0;0;0
;;Laura Moreno;0;0;Brian Kaufman;0;0;Miguel Branas;0;0;Juan Gonzalez;JH;JD;Mario Bonata;0;0;Kaue de Souza;TD;TC;KH;AH;3S;7H;QC;0
;;Dan Shak;QH;TS;Jennifer Tilly;TD;9D;Bryn Kenney;QC;2H;Oliver Busquet;8C;5H;Art Papazyan;5D;3D;Michael Lind;4H;4C;AC;8D;KC;7H;0;1
;;Dan Shak;7H;5D;Jennifer Tilly;QH;5H;Bryn Kenney;3S;3C;Oliver Busquet;KS;JH;Art Papazyan;AC;8D;Michael Lind;6D;2C;AD;9C;KH;0;0;1
;;Dan Shak;TS;9C;Jennifer Tilly;AS;JD;Bryn Kenney;6C;5D;Oliver Busquet;KS;8C;Art Papazyan;QH;2H;Michael Lind;AD;3C;AC;QC;9D;0;0;1
;;Dan Shak;KC;9D;Jennifer Tilly;AC;5D;Bryn Kenney;QD;QC;Oliver Busquet;8H;8D;Art Papazyan;KH;9C;Michael Lind;JC;2D;6S;4H;4S;7S;8C;1
;;Dan Shak;7D;5H;Jennifer Tilly;KD;QC;Bryn Kenney;AH;8C;Oliver Busquet;8S;2S;Art Papazyan;6D;5S;Michael Lind;KC;6S;7S;8H;9S;QD;KH;1
;;Dan Shak;8S;2H;Jennifer Tilly;6H;4H;Bryn Kenney;AC;6D;Oliver Busquet;TC;5C;Art Papazyan;7H;5H;Michael Lind;AS;5D;AD;6S;3H;0;0;1
;;Dan Shak;AH;5D;Jennifer Tilly;6D;3D;Bryn Kenney;QH;7H;Oliver Busquet;QD;QC;Art Papazyan;4H;2D;Michael Lind;6H;4S;7S;5H;9S;AD;8S;1
;;Dan Shak;TD;5D;Jennifer Tilly;9H;8C;Bryn Kenney;4H;2H;Oliver Busquet;0;0;Art Papazyan;QD;7D;Michael Lind;QH;8D;3D;KC;5C;4D;9D;1
;;Dan Shak;9H;7D;Jennifer Tilly;KS;KH;Bryn Kenney;JD;7S;Oliver Busquet;AH;5D;Art Papazyan;3H;3C;Michael Lind;8H;5C;QD;TD;TS;0;0;0
